gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance
female,group C,some college,free/reduced,completed,63,73,71,207,Average
female,group B,bachelor's degree,free/reduced,none,77,85,87,249,High Performer
male,group C,some college,standard,none,73,74,61,208,Average
male,group D,associate's degree,standard,completed,81,72,77,230,High Performer
female,group C,high school,free/reduced,none,66,76,68,210,Average
male,group D,associate's degree,free/reduced,none,52,57,50,159,Average
female,group C,some college,standard,none,69,78,76,223,Average
female,group C,associate's degree,standard,completed,65,84,84,233,High Performer
female,group D,high school,standard,completed,69,77,78,224,Average
female,group B,some college,standard,completed,50,64,66,180,Average
female,group E,some college,standard,completed,73,78,76,227,High Performer
female,group C,some high school,standard,completed,70,82,76,228,High Performer
male,group D,associate's degree,free/reduced,none,81,75,78,234,High Performer
male,group D,some college,free/reduced,none,63,61,60,184,Average
female,group D,high school,standard,none,67,72,74,213,Average
male,group B,high school,standard,none,60,68,60,188,Average
male,group B,high school,standard,none,62,55,54,171,Average
female,group C,some high school,free/reduced,completed,29,40,44,113,At Risk
male,group B,some college,standard,completed,62,66,68,196,Average
female,group E,master's degree,standard,completed,94,99,100,293,High Performer
male,group E,some college,standard,completed,85,75,68,228,High Performer
male,group D,associate's degree,free/reduced,none,77,78,73,228,High Performer
male,group A,high school,free/reduced,none,53,58,44,155,Average
male,group E,some college,free/reduced,none,93,90,83,266,High Performer
female,group C,associate's degree,standard,none,49,53,53,155,Average
female,group E,associate's degree,free/reduced,none,73,76,78,227,High Performer
female,group C,bachelor's degree,free/reduced,completed,66,74,81,221,Average
female,group D,associate's degree,standard,none,77,77,73,227,High Performer
female,group C,some high school,standard,none,49,63,56,168,Average
female,group D,some college,free/reduced,none,79,89,86,254,High Performer
female,group C,associate's degree,standard,completed,75,82,90,247,High Performer
female,group A,bachelor's degree,standard,none,59,72,70,201,Average
female,group D,associate's degree,standard,completed,57,78,79,214,Average
male,group C,high school,free/reduced,none,66,66,59,191,Average
female,group E,bachelor's degree,standard,completed,79,81,82,242,High Performer
female,group B,some high school,standard,none,57,67,72,196,Average
male,group A,bachelor's degree,standard,completed,87,84,87,258,High Performer
female,group D,some college,standard,none,63,64,67,194,Average
female,group B,some high school,free/reduced,completed,59,63,64,186,Average
male,group A,bachelor's degree,free/reduced,none,62,72,65,199,Average
male,group D,high school,standard,none,46,34,36,116,At Risk
male,group C,some college,standard,none,66,59,52,177,Average
male,group D,high school,standard,none,89,87,79,255,High Performer
female,group D,associate's degree,free/reduced,completed,42,61,58,161,Average
male,group C,some college,standard,completed,93,84,90,267,High Performer
female,group E,some high school,standard,completed,80,85,85,250,High Performer
female,group D,some college,standard,none,98,100,99,297,High Performer
male,group D,master's degree,standard,none,81,81,84,246,High Performer
female,group B,some high school,standard,completed,60,70,74,204,Average
female,group B,associate's degree,free/reduced,completed,76,94,87,257,High Performer
male,group C,associate's degree,standard,completed,73,78,72,223,Average
female,group C,associate's degree,standard,completed,96,96,99,291,High Performer
female,group C,high school,standard,none,76,76,74,226,High Performer
male,group E,associate's degree,free/reduced,completed,91,73,80,244,High Performer
female,group C,some college,free/reduced,none,62,72,70,204,Average
male,group D,some high school,free/reduced,completed,55,59,59,173,Average
female,group B,some high school,free/reduced,completed,74,90,88,252,High Performer
male,group C,high school,standard,none,50,48,42,140,At Risk
male,group B,some college,standard,none,47,43,41,131,At Risk
male,group E,some college,standard,completed,81,74,71,226,High Performer
female,group E,associate's degree,standard,completed,65,75,77,217,Average
male,group E,some high school,standard,completed,68,51,57,176,Average
female,group D,high school,free/reduced,none,73,92,84,249,High Performer
male,group C,some college,standard,none,53,39,37,129,At Risk
female,group B,associate's degree,free/reduced,completed,68,77,80,225,Average
male,group A,some high school,free/reduced,none,55,46,43,144,At Risk
female,group C,some college,standard,completed,87,89,94,270,High Performer
male,group D,some high school,standard,none,55,47,44,146,At Risk
female,group E,some college,free/reduced,none,53,58,57,168,Average
male,group C,master's degree,standard,none,67,57,59,183,Average
male,group C,associate's degree,standard,none,92,79,84,255,High Performer
female,group B,some college,free/reduced,completed,53,66,73,192,Average
male,group D,associate's degree,standard,none,81,71,73,225,Average
male,group C,high school,free/reduced,none,61,60,55,176,Average
male,group D,bachelor's degree,standard,none,80,73,72,225,Average
female,group A,associate's degree,free/reduced,none,37,57,56,150,At Risk
female,group C,high school,standard,none,81,84,82,247,High Performer
female,group C,associate's degree,standard,completed,59,73,72,204,Average
male,group B,some college,free/reduced,none,55,55,47,157,Average
male,group D,associate's degree,standard,none,72,79,74,225,Average
male,group D,high school,standard,none,69,75,71,215,Average
male,group C,some college,standard,none,69,64,68,201,Average
female,group C,bachelor's degree,free/reduced,none,50,60,59,169,Average
male,group B,some college,standard,completed,87,84,86,257,High Performer
male,group D,some high school,standard,completed,71,69,68,208,Average
male,group E,some college,standard,none,68,72,65,205,Average
male,group C,master's degree,free/reduced,completed,79,77,75,231,High Performer
female,group C,some high school,standard,completed,77,90,85,252,High Performer
male,group C,associate's degree,free/reduced,none,58,55,53,166,Average
female,group E,associate's degree,standard,none,84,95,92,271,High Performer
male,group D,some college,standard,none,55,58,52,165,Average
male,group E,bachelor's degree,free/reduced,completed,70,68,72,210,Average
female,group D,some college,free/reduced,completed,52,59,65,176,Average
male,group B,some college,standard,completed,69,77,77,223,Average
female,group C,high school,free/reduced,none,53,72,64,189,Average
female,group D,some high school,standard,none,48,58,54,160,Average
male,group D,some high school,standard,completed,78,81,86,245,High Performer
female,group B,high school,standard,none,62,62,63,187,Average
male,group D,some college,standard,none,60,63,59,182,Average
female,group B,high school,standard,none,74,72,72,218,Average
female,group C,high school,standard,completed,58,75,77,210,Average
male,group B,high school,standard,completed,76,62,60,198,Average
female,group D,some high school,standard,none,68,71,75,214,Average
male,group A,some college,free/reduced,none,58,60,57,175,Average
male,group B,high school,standard,none,52,48,49,149,At Risk
male,group D,bachelor's degree,standard,none,75,73,74,222,Average
female,group B,some high school,free/reduced,completed,52,67,72,191,Average
female,group C,bachelor's degree,free/reduced,none,62,78,79,219,Average
male,group B,some college,standard,none,66,65,60,191,Average
female,group B,some high school,free/reduced,none,49,58,55,162,Average
female,group B,high school,standard,none,66,72,70,208,Average
female,group C,some college,free/reduced,none,35,44,43,122,At Risk
female,group A,some college,standard,completed,72,79,82,233,High Performer
male,group E,associate's degree,standard,completed,94,85,82,261,High Performer
female,group D,associate's degree,free/reduced,none,46,56,57,159,Average
female,group B,master's degree,standard,none,77,90,84,251,High Performer
female,group B,high school,free/reduced,completed,76,85,82,243,High Performer
female,group C,associate's degree,standard,completed,52,59,62,173,Average
male,group C,bachelor's degree,standard,completed,91,81,79,251,High Performer
female,group B,some high school,standard,completed,32,51,44,127,At Risk
female,group E,some high school,free/reduced,none,72,79,77,228,High Performer
female,group B,some college,standard,none,19,38,32,89,At Risk
male,group C,associate's degree,free/reduced,none,68,65,61,194,Average
female,group C,master's degree,free/reduced,none,52,65,61,178,Average
female,group B,high school,standard,none,48,62,60,170,Average
female,group D,some college,free/reduced,none,60,66,70,196,Average
male,group D,high school,free/reduced,none,66,74,69,209,Average
male,group E,some high school,standard,completed,89,84,77,250,High Performer
female,group B,high school,standard,none,42,52,51,145,At Risk
female,group E,associate's degree,free/reduced,completed,57,68,73,198,Average
male,group D,high school,standard,none,70,70,70,210,Average
female,group E,associate's degree,free/reduced,none,70,84,81,235,High Performer
male,group E,some college,standard,none,69,60,54,183,Average
female,group C,associate's degree,standard,none,52,55,57,164,Average
male,group C,some high school,standard,completed,67,73,68,208,Average
male,group C,some high school,standard,completed,76,80,73,229,High Performer
female,group E,associate's degree,standard,none,87,94,95,276,High Performer
female,group B,some college,standard,none,82,85,87,254,High Performer
female,group C,some college,standard,none,73,76,78,227,High Performer
male,group A,some college,free/reduced,none,75,81,74,230,High Performer
female,group D,some college,free/reduced,none,64,74,75,213,Average
female,group E,high school,free/reduced,none,41,45,40,126,At Risk
male,group C,high school,standard,none,90,75,69,234,High Performer
male,group B,bachelor's degree,standard,none,59,54,51,164,Average
male,group A,some high school,standard,none,51,31,36,118,At Risk
male,group A,high school,free/reduced,none,45,47,49,141,At Risk
female,group C,master's degree,standard,completed,54,64,67,185,Average
male,group E,some high school,standard,completed,87,84,76,247,High Performer
female,group C,high school,standard,none,72,80,83,235,High Performer
male,group B,some high school,standard,completed,94,86,87,267,High Performer
female,group A,bachelor's degree,standard,none,45,59,64,168,Average
male,group D,bachelor's degree,free/reduced,completed,61,70,76,207,Average
female,group B,high school,free/reduced,none,60,72,68,200,Average
female,group C,some high school,standard,none,77,91,88,256,High Performer
female,group A,some high school,standard,completed,85,90,92,267,High Performer
female,group D,bachelor's degree,free/reduced,none,78,90,93,261,High Performer
male,group E,some college,free/reduced,completed,49,52,51,152,Average
female,group B,high school,free/reduced,none,71,87,82,240,High Performer
female,group C,some high school,free/reduced,none,48,58,52,158,Average
male,group C,high school,standard,none,62,67,58,187,Average
female,group C,associate's degree,free/reduced,completed,56,68,70,194,Average
female,group C,some high school,standard,none,65,69,76,210,Average
female,group D,some high school,free/reduced,completed,69,86,81,236,High Performer
male,group B,some high school,standard,none,68,54,53,175,Average
female,group A,some college,free/reduced,none,61,60,57,178,Average
female,group C,bachelor's degree,free/reduced,completed,74,86,89,249,High Performer
male,group A,bachelor's degree,standard,none,64,60,58,182,Average
female,group B,high school,standard,completed,77,82,89,248,High Performer
male,group B,some college,standard,none,58,50,45,153,Average
female,group C,high school,standard,completed,60,64,74,198,Average
male,group E,high school,standard,none,73,64,57,194,Average
female,group A,high school,standard,completed,75,82,79,236,High Performer
male,group B,associate's degree,free/reduced,completed,58,57,53,168,Average
female,group C,associate's degree,standard,none,66,77,73,216,Average
female,group D,high school,free/reduced,none,39,52,46,137,At Risk
male,group C,some high school,standard,none,64,58,51,173,Average
female,group B,high school,free/reduced,completed,23,44,36,103,At Risk
male,group B,some college,free/reduced,completed,74,77,76,227,High Performer
female,group D,some high school,free/reduced,completed,40,65,64,169,Average
male,group E,master's degree,standard,none,90,85,84,259,High Performer
male,group C,master's degree,standard,completed,91,85,85,261,High Performer
male,group D,high school,standard,none,64,54,50,168,Average
female,group C,high school,standard,none,59,72,68,199,Average
male,group D,associate's degree,standard,none,80,75,69,224,Average
male,group C,master's degree,standard,none,71,67,67,205,Average
female,group A,high school,standard,none,61,68,63,192,Average
female,group E,some college,standard,none,87,85,93,265,High Performer
male,group E,some high school,standard,none,82,67,61,210,Average
male,group C,some high school,standard,none,62,64,55,181,Average
female,group B,bachelor's degree,standard,none,97,97,96,290,High Performer
male,group B,some college,free/reduced,none,75,68,65,208,Average
female,group C,bachelor's degree,standard,none,65,79,81,225,Average
male,group B,high school,standard,completed,52,49,46,147,At Risk
male,group C,associate's degree,free/reduced,none,87,73,72,232,High Performer
female,group C,associate's degree,standard,none,53,62,53,168,Average
female,group E,master's degree,free/reduced,none,81,86,87,254,High Performer
male,group D,bachelor's degree,free/reduced,completed,39,42,38,119,At Risk
female,group C,some college,standard,completed,71,71,80,222,Average
male,group C,associate's degree,standard,none,97,93,91,281,High Performer
male,group D,some college,standard,completed,82,82,88,252,High Performer
male,group C,high school,free/reduced,none,59,53,52,164,Average
male,group B,associate's degree,standard,none,61,42,41,144,At Risk
male,group E,associate's degree,free/reduced,completed,78,74,72,224,Average
male,group C,associate's degree,free/reduced,none,49,51,51,151,Average
male,group B,high school,standard,none,59,58,47,164,Average
female,group C,some college,standard,completed,70,72,76,218,Average
male,group B,associate's degree,standard,completed,82,84,78,244,High Performer
male,group E,associate's degree,free/reduced,none,90,90,82,262,High Performer
female,group C,bachelor's degree,free/reduced,none,43,62,61,166,Average
male,group C,some college,free/reduced,none,80,64,66,210,Average
male,group D,some college,standard,none,81,82,84,247,High Performer
male,group C,some high school,standard,none,57,61,54,172,Average
female,group D,some high school,standard,none,59,72,80,211,Average
female,group D,associate's degree,standard,none,64,76,74,214,Average
male,group C,bachelor's degree,standard,completed,63,64,66,193,Average
female,group E,bachelor's degree,standard,completed,71,70,70,211,Average
female,group B,high school,free/reduced,none,64,73,71,208,Average
male,group D,bachelor's degree,free/reduced,none,55,46,44,145,At Risk
female,group E,associate's degree,standard,none,51,51,54,156,Average
female,group C,associate's degree,standard,completed,62,76,80,218,Average
female,group E,associate's degree,standard,completed,93,100,95,288,High Performer
male,group C,high school,free/reduced,none,54,72,59,185,Average
female,group D,some college,free/reduced,none,69,65,74,208,Average
male,group D,high school,free/reduced,none,44,51,48,143,At Risk
female,group E,some college,standard,completed,86,85,91,262,High Performer
female,group E,associate's degree,standard,none,85,92,85,262,High Performer
female,group A,master's degree,free/reduced,none,50,67,73,190,Average
male,group D,some high school,standard,completed,88,74,75,237,High Performer
female,group E,associate's degree,standard,none,59,62,69,190,Average
female,group E,some high school,free/reduced,none,32,34,38,104,At Risk
male,group B,high school,free/reduced,none,36,29,27,92,At Risk
female,group B,some high school,free/reduced,completed,63,78,79,220,Average
male,group D,associate's degree,standard,completed,67,54,63,184,Average
female,group D,some high school,standard,completed,65,78,82,225,Average
male,group D,master's degree,standard,none,85,84,89,258,High Performer
female,group C,master's degree,standard,none,73,78,74,225,Average
female,group A,high school,free/reduced,completed,34,48,41,123,At Risk
female,group D,bachelor's degree,free/reduced,completed,93,100,100,293,High Performer
female,group D,some high school,free/reduced,none,67,84,84,235,High Performer
male,group D,some college,standard,none,88,77,77,242,High Performer
male,group B,high school,standard,none,57,48,51,156,Average
female,group D,some college,standard,completed,79,84,91,254,High Performer
female,group C,bachelor's degree,free/reduced,none,67,75,72,214,Average
male,group E,bachelor's degree,standard,completed,70,64,70,204,Average
male,group D,bachelor's degree,free/reduced,none,50,42,48,140,At Risk
female,group A,some college,standard,none,69,84,82,235,High Performer
female,group C,bachelor's degree,standard,completed,52,61,66,179,Average
female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,Average
female,group B,associate's degree,free/reduced,none,46,61,55,162,Average
female,group E,some college,standard,none,68,70,66,204,Average
male,group E,bachelor's degree,standard,completed,100,100,100,300,High Performer
female,group C,high school,standard,none,44,61,52,157,Average
female,group C,associate's degree,standard,completed,57,77,80,214,Average
male,group B,some college,standard,completed,91,96,91,278,High Performer
male,group D,high school,free/reduced,none,69,70,67,206,Average
female,group C,high school,free/reduced,none,35,53,46,134,At Risk
male,group D,high school,standard,none,72,66,66,204,Average
female,group B,associate's degree,free/reduced,none,54,65,65,184,Average
male,group D,high school,free/reduced,none,74,70,69,213,Average
male,group E,some high school,standard,completed,74,64,60,198,Average
male,group E,associate's degree,free/reduced,none,64,56,52,172,Average
female,group D,high school,free/reduced,completed,65,61,71,197,Average
male,group E,associate's degree,free/reduced,completed,46,43,44,133,At Risk
female,group C,some high school,free/reduced,none,48,56,51,155,Average
male,group C,some college,free/reduced,completed,67,74,70,211,Average
male,group D,some college,free/reduced,none,62,57,62,181,Average
male,group D,associate's degree,free/reduced,completed,61,71,73,205,Average
male,group C,bachelor's degree,free/reduced,completed,70,75,74,219,Average
male,group C,associate's degree,standard,completed,98,87,90,275,High Performer
male,group D,some college,free/reduced,none,70,63,58,191,Average
male,group A,associate's degree,standard,none,67,57,53,177,Average
female,group E,high school,free/reduced,none,57,58,57,172,Average
male,group D,some college,standard,completed,85,81,85,251,High Performer
male,group D,some high school,standard,completed,77,68,69,214,Average
male,group C,master's degree,free/reduced,completed,72,66,72,210,Average
female,group D,master's degree,standard,none,78,91,96,265,High Performer
male,group C,high school,standard,none,81,66,64,211,Average
male,group A,some high school,free/reduced,completed,61,62,61,184,Average
female,group B,high school,standard,none,58,68,61,187,Average
female,group C,associate's degree,standard,none,54,61,58,173,Average
male,group B,high school,standard,none,82,82,80,244,High Performer
female,group D,some college,free/reduced,none,49,58,60,167,Average
male,group B,some high school,free/reduced,completed,49,50,52,151,Average
female,group E,high school,free/reduced,completed,57,75,73,205,Average
male,group E,high school,standard,none,94,73,71,238,High Performer
female,group D,some college,standard,completed,75,77,83,235,High Performer
female,group E,some high school,free/reduced,none,74,74,72,220,Average
male,group C,high school,standard,completed,58,52,54,164,Average
female,group C,some college,standard,none,62,69,69,200,Average
male,group E,associate's degree,standard,none,72,57,62,191,Average
male,group C,some college,standard,none,84,87,81,252,High Performer
female,group D,master's degree,standard,none,92,100,100,292,High Performer
female,group D,high school,standard,none,45,63,59,167,Average
male,group C,high school,standard,none,75,81,71,227,High Performer
female,group A,some college,standard,none,56,58,64,178,Average
female,group D,some high school,free/reduced,none,48,54,53,155,Average
female,group E,associate's degree,standard,none,100,100,100,300,High Performer
female,group C,some high school,free/reduced,completed,65,76,75,216,Average
male,group D,some college,standard,none,72,57,58,187,Average
female,group D,some college,standard,none,62,70,72,204,Average
male,group A,some high school,standard,completed,66,68,64,198,Average
male,group C,some college,standard,none,63,63,60,186,Average
female,group E,associate's degree,standard,none,68,76,67,211,Average
female,group B,bachelor's degree,standard,none,75,84,80,239,High Performer
female,group D,bachelor's degree,standard,none,89,100,100,289,High Performer
male,group C,some high school,standard,completed,78,72,69,219,Average
female,group A,high school,free/reduced,completed,53,50,60,163,Average
female,group D,some college,free/reduced,none,49,65,61,175,Average
female,group A,some college,standard,none,54,63,67,184,Average
female,group C,some college,standard,completed,64,82,77,223,Average
male,group B,some college,free/reduced,completed,60,62,60,182,Average
male,group C,associate's degree,standard,none,62,65,58,185,Average
male,group D,high school,standard,completed,55,41,48,144,At Risk
female,group C,associate's degree,standard,none,91,95,94,280,High Performer
female,group B,high school,free/reduced,none,8,24,23,55,At Risk
male,group D,some high school,standard,none,81,78,78,237,High Performer
male,group B,some high school,standard,completed,79,85,86,250,High Performer
female,group A,some college,standard,completed,78,87,91,256,High Performer
female,group C,some high school,standard,none,74,75,82,231,High Performer
male,group A,high school,standard,none,57,51,54,162,Average
female,group C,associate's degree,standard,none,40,59,51,150,At Risk
male,group E,some high school,standard,completed,81,75,76,232,High Performer
female,group A,some high school,free/reduced,none,44,45,45,134,At Risk
female,group D,some college,free/reduced,completed,67,86,83,236,High Performer
male,group E,high school,free/reduced,completed,86,81,75,242,High Performer
female,group B,some high school,standard,completed,65,82,78,225,Average
female,group D,associate's degree,free/reduced,none,55,76,76,207,Average
female,group D,bachelor's degree,free/reduced,none,62,72,74,208,Average
male,group A,high school,standard,none,63,63,62,188,Average
female,group E,master's degree,standard,completed,88,99,95,282,High Performer
male,group C,high school,free/reduced,none,62,55,55,172,Average
female,group C,high school,free/reduced,completed,59,71,65,195,Average
female,group D,some college,standard,completed,68,78,77,223,Average
female,group D,some college,free/reduced,none,77,86,86,249,High Performer
